mes_origen,dev_0,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,dev_11,dev_12,dev_13,dev_14,dev_15,dev_16,dev_17,dev_18,dev_19,dev_20,dev_21,dev_22,dev_23,dev_24,dev_25,dev_26,dev_27,dev_28,dev_29,dev_30,dev_31,dev_32,dev_33,dev_34,dev_35
2021-07,5102387195.06,3380784166.21,2334665169.63,1710582949.05,1247551335.01,888583851.74,677646325.94,478994111.24,375627088.09,304350407.71,227981063.97,187088138.7,148106535.1,138188755.58,115257056.88,100344389.76,94078030.89,67788889.95,68118586.75,60755752.33,46352258.92,45250765.2,41472737.14,40905787.62,37108296.16,30154961.01,24001444.6,23934999.71,22844618.45,19362976.84,18885736.73,18640498.66,15534041.79,13339821.92,11898325.44,11327583.97
2021-08,5038925983.88,3771749506.36,2641975590.17,1786330669.87,1268839669.06,938783701.9,693436315.84,535494482.05,399768253.51,285464336.72,251707020.94,193993644.82,179348865.52,137867979.07,113957487.77,108522249.78,89102220.48,75680438.78,61972802.96,56370231.45,50756711.54,46536906.91,41586013.08,44372618.28,35820464.81,31327301.7,25683133.79,26987888.05,22473962.08,20392298.16,18910174.9,19020017.4,16783627.22,13862783.23,10996210.15,11556886.93
2021-09,5741062403.28,3581174884.51,2415257586.59,1792526495.91,1371484015.83,1038675250.72,708130886.74,548504211.34,405530396.93,325408551.93,275225288.5,216172210.51,158504415.99,149400735.82,135955148.64,110284325.03,105193651.93,76568775.42,60797662.08,61306026.21,52789638.42,47617099.73,40920571.38,41712977.84,35946472.52,31250642.66,29567085.09,24331624.71,20698701.77,23954373.09,19683663.18,17686525.45,16546634.01,16904784.28,13732411.96,14510643.96
2021-10,5908772496.24,4017982140.98,2814695552.98,1928223462.93,1491183189.65,1070093159.2,791216790.59,600807490.6,450068113.77,391899335.61,281072555.72,236873460.07,190507699.38,155734485.91,140329052.32,108964829.13,101788501.0,82547862.6,79252222.79,72011264.56,57518236.06,54054256.07,52891762.74,42418740.31,43550321.08,30273717.49,33493451.77,34197153.14,30229475.77,24078479.69,24330582.35,18813012.87,19143713.59,16233231.87,17791649.58,16195896.52
2021-11,5991376246.95,4225864841.61,2890365340.71,2145843222.87,1405739067.9,1038129786.65,763488769.96,603885781.43,489126722.15,373615746.14,302979508.02,225403055.61,179920674.78,150568868.7,142027841.53,115418338.61,109897998.94,92644562.4,80887382.18,65529265.59,60715122.56,64459102.77,47322465.77,45982422.48,40067685.37,39185316.92,30572056.11,27892154.55,25203191.0,22321420.71,24665107.33,19859691.07,17198023.69,15337994.37,15357075.19,11771231.28
2021-12,6032080169.95,4556070523.14,3033662600.22,2180505743.04,1527466980.64,1121148907.31,794675565.23,599260176.06,449950622.76,408272668.59,317240449.82,253911647.57,214105576.47,174842732.08,139601152.86,134687224.89,111664267.21,101374079.09,79838557.79,67142635.96,65648878.2,59240274.02,54151834.01,44803962.45,36663246.14,40219761.99,32034415.57,29235324.98,26810820.64,24578547.57,23917971.71,19995224.52,20178606.4,16616505.32,15886655.16,16448690.65
2022-01,6454912935.05,4419439538.13,3123604189.97,2249382689.96,1650313102.82,1121742553.14,784180214.87,597509992.06,521778863.25,375384699.24,336039628.17,237296321.16,209864210.05,188649930.98,157910891.23,129880621.73,102241054.03,107849452.36,83698879.32,73437707.0,71167818.9,64183570.77,47184620.22,47770687.23,48128886.66,39663028.67,36112204.46,34325380.19,27078305.42,25730288.48,23562894.31,19071718.5,15762801.71,17466844.07,17579330.61,15404659.43
2022-02,6444178654.05,4323240219.25,3029634292.74,2218543873.68,1572167651.69,1150855297.02,786002976.37,648851383.8,487854208.43,367861069.24,309097496.09,245009963.97,199924597.42,181846164.96,141568915.69,119686332.4,116758673.7,102125124.78,78682679.9,74793107.13,63237248.72,62646629.48,56613410.41,45792959.93,43240376.52,37813264.03,30477159.89,32382440.6,31362062.89,26593562.58,25182996.05,23520888.52,19694430.6,17984190.5,15355113.36,15035343.85
2022-03,6373850468.31,4351615301.0,2918409781.5,2131231806.42,1576000350.45,1076601474.46,879713056.64,625330610.84,453080764.77,393265440.18,305064136.92,230654321.7,207113669.61,163649579.37,127753067.1,116526869.86,105023204.64,97729268.17,83247835.93,76419554.06,57406434.42,53644937.36,44162436.21,40369696.91,37509028.15,36049559.77,31581645.49,30142737.16,29336144.45,26357024.5,20066633.05,19295657.62,17075716.29,15392888.03,13532174.16,15275862.83
2022-04,6107292834.9,3978298122.16,2937042920.15,1984181636.75,1428390479.5,1045745679.58,762360993.1,596377325.14,464944788.24,366961731.38,250704554.0,248269689.65,173388291.98,166467680.43,146780821.74,117727342.56,111127086.78,89467778.32,74428180.54,68076222.94,53561775.13,57514771.85,48538162.48,38244041.16,35617244.0,39586826.49,29360059.73,32324784.0,27021291.86,20313257.79,20385056.27,19861616.46,19788789.42,14238597.39,12761911.09,13259158.43
2022-05,5863858245.39,3855966319.37,2831228839.08,1946520325.49,1490482626.04,1040375117.35,810981900.05,600522200.42,426709118.31,346824441.77,268379981.01,234981758.51,192493582.71,165425118.24,128928546.13,108940134.89,108276567.08,88377142.97,79541930.96,60021341.45,55828677.79,55293295.23,48098215.24,37199293.21,36073091.42,34524698.01,32723567.01,29950703.77,26333888.06,23456316.23,23147564.66,20146326.62,19571472.03,19848035.07,11739233.74,13548448.73
2022-06,5212705635.19,3735985786.89,2738415942.58,1824896849.32,1330864389.25,1055896066.56,787768534.62,546103428.13,467905415.57,336747469.77,262003866.09,230858423.71,162283332.03,157634082.76,125800741.6,107514038.37,94050517.68,87136674.23,71825924.12,60049286.9,57198728.69,48156145.02,48557588.05,40233283.15,32693190.89,32710948.06,30708282.83,25880275.33,20678667.22,21449317.03,23407777.15,20330834.56,16655291.76,16509686.19,11950211.44,12240653.66
2022-07,5640103580.89,4158580063.46,2673763381.57,1961933387.6,1504681936.67,950945588.78,798136897.93,550296020.1,470818029.84,374525662.01,291681794.08,216201140.63,184826870.96,147101281.17,148274183.03,108172899.45,91773100.09,86071481.75,71409915.45,66625417.94,58208836.28,57724013.49,44656204.94,44755873.12,36103337.43,31810785.26,31439097.5,29798278.9,23470386.36,21973126.61,20593100.19,18723184.73,18901074.35,16319571.42,14087276.83,12718622.76
2022-08,5661038459.69,3909924638.08,2644912668.09,1970180882.14,1511405179.92,1104397799.23,848070900.9,600424859.33,425588907.54,316076550.91,296327085.18,240079597.31,196858082.65,159493217.18,148215953.05,104455311.62,102405178.87,92681260.95,68887153.78,68880401.79,50277843.01,48650965.04,51538642.98,42657833.94,36930342.3,31399669.97,34753790.15,27689050.88,23800514.95,22427535.96,22732710.57,17941263.39,16062297.84,16227314.01,12425104.91,13728682.1
2022-09,5669000598.28,3765308361.77,2833326950.6,1968876507.6,1439806156.56,966529157.47,787992987.49,595783671.53,475344855.75,334172624.28,271355283.81,209056495.5,211830644.12,167692478.26,129823630.61,113940206.17,109112662.8,80006251.92,78295852.51,74087848.81,57285582.79,46379743.55,47429674.87,37748502.0,40583875.74,35530613.15,30446757.24,26059323.82,25260456.75,24386851.96,19590092.17,16748663.93,19542127.25,16277570.04,14415118.24,12544509.51
2022-10,6102515265.34,4143399123.36,3035562497.84,2145685694.71,1467499122.65,1105733200.29,845530707.15,679429665.36,464374838.36,367130462.05,317180436.89,229053497.1,195035281.73,175191664.95,153243144.33,111142330.27,111122376.54,84511832.37,65187035.55,70089962.06,62891766.54,57751390.72,51695718.57,41642491.59,35839277.23,34518719.94,31014499.22,28555590.74,29652575.73,25777850.04,21463947.53,17263174.79,17811329.68,19666827.64,16379647.65,13047649.11
2022-11,6947741978.0,4728342974.66,3217311332.97,2370229886.68,1787221803.92,1208362349.12,900162654.27,668997561.68,448724705.06,424928751.48,313169950.32,268023226.46,224049749.04,200382143.52,171837152.16,142407392.19,121202856.95,104514433.67,99325655.24,81102147.31,75642841.54,67939692.47,55650294.69,50466649.24,44033975.16,42396492.65,33426913.46,31496339.95,36177242.73,31202030.43,21965078.85,22218410.96,22220182.07,21358401.23,20666607.37,15683031.53
2022-12,6889702382.94,4566381240.12,3132754462.42,2342614191.92,1606774906.59,1163825656.83,877622268.31,700686056.33,544788695.56,419478423.27,338626450.86,267412335.63,221639964.22,187573684.84,164536645.7,135289645.86,110066324.9,99205645.41,85704262.64,80974694.88,61731710.46,55190617.53,56093083.51,44831189.17,47639987.23,37449215.39,38455716.72,28002689.87,29827420.74,26630680.6,23271173.79,23305496.22,21604791.57,22919015.88,17950336.22,16111025.09
2023-01,6504998874.5,4756531948.63,3138203217.37,2236866770.7,1738549155.72,1199103897.68,804224815.88,680631266.16,494891281.64,433116825.86,352380371.36,282787980.14,241840565.25,185388704.46,156317279.97,139929694.19,113099978.68,105338499.94,93901733.42,74618697.53,73080878.65,58831715.89,57711966.12,50264460.24,48904996.02,47116939.32,36491271.97,38235564.69,31404450.71,31866017.01,29023407.51,20530036.86,21751928.81,19360959.71,18429937.16,17495023.91
2023-02,6794278900.73,4757434959.02,3410283621.52,2462183770.61,1770256185.72,1204617638.86,878036394.76,697471735.44,543228418.95,422776680.45,343344833.73,265705408.3,218107808.17,200258755.87,169551013.27,153095802.44,118212936.39,103171593.35,92324003.05,82889766.22,68418493.96,64546646.75,58537449.77,62543297.91,45782087.23,45295701.06,35582393.19,32444919.28,27398358.56,27584846.2,24568138.82,23816579.63,23931365.99,18926403.89,18475487.09,
2023-03,7240530617.25,5101593319.0,3257389818.62,2511137782.03,1833814050.34,1279910134.47,956171798.14,710085290.17,590488677.84,462826387.32,392186462.43,282036658.17,223785877.49,209005508.73,158192357.97,134180608.18,134574328.54,101388260.03,89441457.31,83853569.15,75692864.39,62558320.85,62378439.83,52383782.81,46685384.46,43376313.02,32159376.24,34051219.01,30855096.19,29107992.8,27776394.97,25511422.47,18502910.34,21175398.32,,
2023-04,6861803548.3,4773125894.95,3297585926.72,2366293798.42,1669663408.7,1251145844.51,920210952.6,714010467.96,525930483.52,402582215.99,351721290.4,282273556.74,220814128.03,207184824.42,161047519.56,143531824.08,129437866.35,101257880.8,101115725.22,81904358.4,73064740.01,62307274.78,54096100.09,45059088.87,43899996.53,39804991.29,36205749.55,38503695.54,26669046.65,23805539.43,23258514.94,24857430.99,24529028.14,,,
2023-05,6530368339.42,4624849451.75,3288794704.15,2323199445.27,1666056753.83,1268648591.31,907929073.84,633718728.39,509092376.32,417755024.8,364702223.93,290128854.28,230088167.18,193700111.12,164325891.21,139651353.45,113348734.88,104516426.12,90122280.1,78448150.57,70168858.0,67283505.33,53436470.08,57688825.02,43879956.78,34159490.93,37267006.35,29832627.54,31004969.78,25664734.29,21379073.87,21156289.54,,,,
2023-06,6189993476.94,4456932034.49,3009252671.81,2064026418.46,1592085578.1,1032377716.51,845662995.6,665151183.29,483475999.11,377964540.21,306143217.26,263136457.95,191520884.56,154656208.48,147109787.84,129524024.22,104296620.89,106284705.67,88421555.74,74757405.06,61603348.1,54326437.79,49173722.56,41854614.24,46988450.35,35212422.33,41891407.89,32319064.06,29272579.76,30553549.89,24132502.42,,,,,
2023-07,6221516329.59,4221138336.52,3009093785.47,2133001908.92,1568377003.35,1073637452.45,908443409.41,591721696.83,464156025.89,381518358.71,302762071.03,254503645.7,205819010.05,169682348.71,157074112.13,138734867.77,108015894.58,93948005.58,86784769.43,85039765.35,57360285.4,57848051.02,49527524.12,41993205.58,39353277.7,39617704.49,36188987.48,32300273.35,32829247.39,24753881.62,,,,,,
2023-08,6453697249.99,4282532596.02,3159541040.29,2191069857.19,1406519968.99,1177292303.89,855196116.33,650860513.66,524171828.66,390811217.78,321321225.13,272240230.69,207445992.18,182236856.3,139406942.56,125979510.61,113390592.13,106585382.17,79379228.08,69157673.59,64484327.88,57840167.84,57949133.91,45504104.24,45553384.65,38977972.3,35155438.27,41082394.86,28778077.6,,,,,,,
2023-09,6696023333.08,4185537451.52,3077926475.98,2144032450.06,1653148618.3,1208197244.08,935478613.63,657286837.77,498050381.09,402032088.06,346759063.92,225798326.84,218699558.0,184498453.09,156411156.92,136479894.03,117223089.09,91253786.74,86075494.26,79005895.43,62087994.48,54110347.75,54336375.74,49484911.89,41698420.79,40697803.0,39283723.09,30596303.27,,,,,,,,
2023-10,6685175485.69,4786595610.8,3318260833.85,2376395186.47,1655554164.85,1274793061.08,966416057.91,642225329.41,526258471.56,407114067.52,358187063.5,277902325.34,231861974.13,200316077.45,159611437.77,130142706.33,109312226.0,100822774.27,77508330.37,79872633.46,74008414.44,69045979.67,52907265.72,54034140.07,45464938.39,36102057.31,34391419.93,,,,,,,,,
2023-11,7088225860.3,5051860506.33,3495772240.74,2444723321.45,1718785211.91,1243517282.48,990909759.83,729824314.22,549763905.55,412904962.18,352393534.21,280688421.22,230713567.18,192773669.98,159841267.22,146748362.24,110893110.02,115301325.87,96044195.71,86196492.71,72914252.52,63773894.04,63460975.51,52775402.73,44463828.71,45397929.4,,,,,,,,,,
2023-12,7508224313.52,5467286153.06,3778231244.36,2626918312.2,1842008869.75,1330777446.2,953986728.86,759620107.62,576905241.47,433605538.69,356916029.72,297316153.26,250857570.63,208424241.46,173943158.82,148882199.16,123057252.81,111667616.06,98491253.42,96733801.17,76980257.33,67136889.63,58973346.4,50513538.81,51325628.95,,,,,,,,,,,
2024-01,7771409691.23,5296686513.37,3504201020.95,2626783196.31,1802116063.7,1336825097.33,1062689303.02,796225073.8,547336623.79,454033406.0,362047849.65,305855520.5,236572515.12,207613662.31,186620049.15,140898380.43,134240255.63,110576189.69,102882328.86,85545568.63,76043988.71,66667090.94,65198055.17,49519206.38,,,,,,,,,,,,
2024-02,7707359547.76,5070289017.6,3667751986.57,2506735984.4,1898392044.95,1320073782.17,976138837.37,754106528.34,601874500.65,465553109.9,371816682.41,312437375.66,234615351.27,191940783.09,184015424.42,154909330.24,127440825.8,114786264.05,95731472.66,89695885.51,82460654.96,75364123.91,63800190.34,,,,,,,,,,,,,
2024-03,7676172967.36,5626994691.26,3703068608.2,2869858882.96,2008184754.46,1428671832.69,1137223725.75,850685323.7,631891033.19,492356862.57,395579792.88,337079079.39,261757685.38,231455738.9,188090012.14,158900843.18,144641587.02,116368534.5,92904183.5,107437559.97,83037752.66,72478267.45,,,,,,,,,,,,,,
2024-04,7305275466.55,5403337655.19,3727404087.21,2692334355.71,1895463539.11,1388608911.5,1001480310.07,769637976.39,566049074.51,482557620.61,411589218.23,308322891.66,240403171.16,210491413.84,165601086.29,142764904.14,135335008.95,120806246.27,96628492.86,91771942.47,74250826.33,,,,,,,,,,,,,,,
2024-05,7022626974.94,4736835329.83,3454444196.43,2366934869.96,1873975682.72,1207026445.51,890991150.19,647349757.98,565122557.69,385199129.58,347660146.66,284362172.42,247490293.32,201457066.36,171460281.12,141753447.94,121994385.03,109738790.89,88771106.87,76791196.17,,,,,,,,,,,,,,,,
2024-06,7206350814.06,4733561035.49,3601189357.38,2468380852.8,1730217108.19,1202688874.53,994469197.01,729939090.45,563661431.39,475457761.72,325623992.2,290786941.19,247070310.52,185885190.68,151463878.26,154016908.91,114110964.35,119396457.08,93107801.67,,,,,,,,,,,,,,,,,
2024-07,6939521861.55,4641036439.45,3399897133.3,2318887079.48,1715006157.51,1190587937.42,900292052.66,709120240.77,546427405.03,416509199.46,361437962.82,273482008.3,249501413.58,184805643.03,157752430.16,153627259.49,118653930.25,95366494.41,,,,,,,,,,,,,,,,,,
2024-08,6783795765.02,4651658795.67,3356243798.54,2303585893.7,1745421506.75,1197377564.76,987171350.9,732947772.36,478761059.52,439512196.79,337751837.3,277796816.18,224149978.21,180307563.3,166943259.84,136216169.72,117956177.53,,,,,,,,,,,,,,,,,,,
2024-09,7133673400.3,5045956496.22,3342145082.68,2514404785.12,1931174801.36,1335860981.01,926676704.54,754680952.96,576676546.98,488830906.99,341383066.41,309711416.19,233765032.98,191170470.24,156218682.36,160932109.43,,,,,,,,,,,,,,,,,,,,
2024-10,7507556095.95,5101314126.0,3454665261.89,2563777067.12,1884695894.27,1361309276.28,1016150818.41,766113508.64,593048267.06,462412613.79,352498253.56,296659032.28,251302693.43,190602836.25,185673840.45,,,,,,,,,,,,,,,,,,,,,
2024-11,7506388127.99,5212480234.81,3817755963.14,2510502188.21,2091475573.52,1409663487.25,992948821.93,722811781.31,603629516.99,462194520.94,344712341.33,302667680.99,238213531.32,201010235.08,,,,,,,,,,,,,,,,,,,,,,
2024-12,8317846448.35,5716484791.34,3908382981.05,2974111573.67,2136696926.68,1601539492.76,1121223273.67,868806896.26,654075714.46,523733669.44,404010075.9,332762132.64,297871410.86,,,,,,,,,,,,,,,,,,,,,,,
2025-01,8384841616.33,6193352131.12,3945700608.27,2956748314.2,2179193159.3,1591136649.98,1121609142.7,859045738.56,658948220.43,518414493.04,442163356.14,335915614.17,,,,,,,,,,,,,,,,,,,,,,,,
2025-02,8182127396.4,5781487161.67,4324963794.52,2844246161.83,2036218293.56,1656800356.15,1130511107.74,849948025.56,606052530.49,490121698.16,433227570.99,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03,8350388271.16,5662585497.8,4051793845.41,2871486445.19,1916159952.92,1541700257.77,1014057943.72,829192400.22,615398989.1,522167123.62,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04,8900372546.11,5576369552.61,4189880566.9,3018198849.46,2087523986.96,1441847211.3,1069545733.2,810575457.47,556824738.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05,7885427063.83,5511306651.15,3780211941.54,2707638742.56,2001306507.91,1445306180.29,1114027061.38,768084456.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06,7579420362.29,5278676826.13,3562788701.94,2541190213.54,1881925750.07,1458381150.96,1007884399.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07,7534976549.82,5430093225.08,3481316984.61,2617615157.51,1830791055.39,1325139514.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08,7172357884.79,5036421734.6,3553964691.21,2576298079.86,1834362446.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09,8171124733.33,5453030625.82,3569265056.25,2875320976.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,8096035850.8,5510546323.87,3987271787.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11,8375504500.17,6159064202.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12,8835420903.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
