origin_month,payment_month,development_month,member_months,seasonal_index,incremental_paid,cumulative_paid
2020-03,2020-03,0,81971,1.064151,5347997953.5,5347997953.5
2020-03,2020-04,1,81971,1.064151,3455611525.09,8803609478.59
2020-03,2020-05,2,81971,1.064151,2462462001.0,11266071479.59
2020-03,2020-06,3,81971,1.064151,1672761268.14,12938832747.72
2020-03,2020-07,4,81971,1.064151,1212704165.48,14151536913.21
2020-03,2020-08,5,81971,1.064151,934155551.32,15085692464.53
2020-03,2020-09,6,81971,1.064151,694481443.47,15780173908.0
2020-03,2020-10,7,81971,1.064151,510715530.54,16290889438.53
2020-03,2020-11,8,81971,1.064151,411233963.3,16702123401.83
2020-03,2020-12,9,81971,1.064151,323889959.29,17026013361.13
2020-03,2021-01,10,81971,1.064151,257050776.24,17283064137.37
2020-03,2021-02,11,81971,1.064151,202126642.09,17485190779.46
2020-03,2021-03,12,81971,1.064151,168891650.99,17654082430.45
2020-03,2021-04,13,81971,1.064151,152091958.98,17806174389.43
2020-03,2021-05,14,81971,1.064151,120659437.7,17926833827.13
2020-03,2021-06,15,81971,1.064151,112101798.74,18038935625.87
2020-03,2021-07,16,81971,1.064151,78886727.21,18117822353.08
2020-03,2021-08,17,81971,1.064151,71556141.52,18189378494.59
2020-03,2021-09,18,81971,1.064151,61539196.19,18250917690.78
2020-03,2021-10,19,81971,1.064151,53419741.09,18304337431.88
2020-03,2021-11,20,81971,1.064151,51836741.39,18356174173.26
2020-03,2021-12,21,81971,1.064151,48621737.23,18404795910.49
2020-03,2022-01,22,81971,1.064151,44717377.73,18449513288.22
2020-03,2022-02,23,81971,1.064151,36822825.95,18486336114.17
2020-03,2022-03,24,81971,1.064151,31671412.63,18518007526.8
2020-03,2022-04,25,81971,1.064151,32859316.35,18550866843.15
2020-03,2022-05,26,81971,1.064151,24833226.68,18575700069.83
2020-03,2022-06,27,81971,1.064151,24283022.5,18599983092.34
2020-03,2022-07,28,81971,1.064151,23424429.43,18623407521.77
2020-03,2022-08,29,81971,1.064151,23991681.62,18647399203.39
2020-03,2022-09,30,81971,1.064151,19471841.53,18666871044.92
2020-03,2022-10,31,81971,1.064151,17887198.95,18684758243.87
2020-03,2022-11,32,81971,1.064151,14472105.81,18699230349.69
2020-03,2022-12,33,81971,1.064151,14594441.12,18713824790.81
2020-03,2023-01,34,81971,1.064151,14265905.57,18728090696.38
2020-03,2023-02,35,81971,1.064151,10952626.28,18739043322.66
2020-04,2020-04,0,83462,1.025,5142532696.42,5142532696.42
2020-04,2020-05,1,83462,1.025,3475968043.63,8618500740.04
2020-04,2020-06,2,83462,1.025,2416440759.18,11034941499.22
2020-04,2020-07,3,83462,1.025,1779271080.92,12814212580.14
2020-04,2020-08,4,83462,1.025,1270407687.14,14084620267.28
2020-04,2020-09,5,83462,1.025,986875221.29,15071495488.57
2020-04,2020-10,6,83462,1.025,673817202.64,15745312691.21
2020-04,2020-11,7,83462,1.025,473162983.5,16218475674.72
2020-04,2020-12,8,83462,1.025,424229516.16,16642705190.87
2020-04,2021-01,9,83462,1.025,317508608.53,16960213799.4
2020-04,2021-02,10,83462,1.025,234852794.28,17195066593.68
2020-04,2021-03,11,83462,1.025,199899498.16,17394966091.85
2020-04,2021-04,12,83462,1.025,176177455.47,17571143547.32
2020-04,2021-05,13,83462,1.025,136357299.94,17707500847.26
2020-04,2021-06,14,83462,1.025,121835252.41,17829336099.67
2020-04,2021-07,15,83462,1.025,92037122.19,17921373221.86
2020-04,2021-08,16,83462,1.025,88728672.1,18010101893.96
2020-04,2021-09,17,83462,1.025,76660840.84,18086762734.8
2020-04,2021-10,18,83462,1.025,66958618.6,18153721353.39
2020-04,2021-11,19,83462,1.025,67546440.79,18221267794.19
2020-04,2021-12,20,83462,1.025,58263159.78,18279530953.97
2020-04,2022-01,21,83462,1.025,47740391.15,18327271345.12
2020-04,2022-02,22,83462,1.025,41909918.78,18369181263.89
2020-04,2022-03,23,83462,1.025,36249248.71,18405430512.61
2020-04,2022-04,24,83462,1.025,37043926.66,18442474439.27
2020-04,2022-05,25,83462,1.025,33437718.98,18475912158.24
2020-04,2022-06,26,83462,1.025,28706717.96,18504618876.2
2020-04,2022-07,27,83462,1.025,28744060.59,18533362936.79
2020-04,2022-08,28,83462,1.025,22066850.62,18555429787.41
2020-04,2022-09,29,83462,1.025,20063620.17,18575493407.58
2020-04,2022-10,30,83462,1.025,17832034.86,18593325442.43
2020-04,2022-11,31,83462,1.025,15633676.92,18608959119.35
2020-04,2022-12,32,83462,1.025,15035224.49,18623994343.84
2020-04,2023-01,33,83462,1.025,18039248.64,18642033592.48
2020-04,2023-02,34,83462,1.025,14072652.29,18656106244.77
2020-04,2023-03,35,83462,1.025,12381893.69,18668488138.46
2020-05,2020-05,0,83015,0.979151,4923293461.75,4923293461.75
2020-05,2020-06,1,83015,0.979151,3381344410.12,8304637871.88
2020-05,2020-07,2,83015,0.979151,2483748954.68,10788386826.56
2020-05,2020-08,3,83015,0.979151,1741372609.38,12529759435.94
2020-05,2020-09,4,83015,0.979151,1286712610.27,13816472046.21
2020-05,2020-10,5,83015,0.979151,886873646.25,14703345692.46
2020-05,2020-11,6,83015,0.979151,663949123.0,15367294815.45
2020-05,2020-12,7,83015,0.979151,494566671.09,15861861486.54
2020-05,2021-01,8,83015,0.979151,383600721.76,16245462208.3
2020-05,2021-02,9,83015,0.979151,299258335.37,16544720543.67
2020-05,2021-03,10,83015,0.979151,232992652.38,16777713196.05
2020-05,2021-04,11,83015,0.979151,179206505.7,16956919701.76
2020-05,2021-05,12,83015,0.979151,160036249.55,17116955951.31
2020-05,2021-06,13,83015,0.979151,137083296.01,17254039247.32
2020-05,2021-07,14,83015,0.979151,117609355.69,17371648603.0
2020-05,2021-08,15,83015,0.979151,94421676.06,17466070279.07
2020-05,2021-09,16,83015,0.979151,93908817.45,17559979096.52
2020-05,2021-10,17,83015,0.979151,75217150.71,17635196247.22
2020-05,2021-11,18,83015,0.979151,55865688.39,17691061935.61
2020-05,2021-12,19,83015,0.979151,64502088.7,17755564024.32
2020-05,2022-01,20,83015,0.979151,46842814.69,17802406839.0
2020-05,2022-02,21,83015,0.979151,47160122.79,17849566961.79
2020-05,2022-03,22,83015,0.979151,36751400.71,17886318362.5
2020-05,2022-04,23,83015,0.979151,37776484.68,17924094847.18
2020-05,2022-05,24,83015,0.979151,32389318.27,17956484165.45
2020-05,2022-06,25,83015,0.979151,25895879.88,17982380045.33
2020-05,2022-07,26,83015,0.979151,32785442.49,18015165487.82
2020-05,2022-08,27,83015,0.979151,25390506.97,18040555994.79
2020-05,2022-09,28,83015,0.979151,19674788.02,18060230782.81
2020-05,2022-10,29,83015,0.979151,20307463.54,18080538246.35
2020-05,2022-11,30,83015,0.979151,20351664.74,18100889911.09
2020-05,2022-12,31,83015,0.979151,17727604.37,18118617515.46
2020-05,2023-01,32,83015,0.979151,16098239.26,18134715754.72
2020-05,2023-02,33,83015,0.979151,13591930.14,18148307684.86
2020-05,2023-03,34,83015,0.979151,14369803.76,18162677488.63
2020-05,2023-04,35,83015,0.979151,13136394.73,18175813883.36
2020-06,2020-06,0,82065,0.938888,4780477469.39,4780477469.39
2020-06,2020-07,1,82065,0.938888,3270365309.64,8050842779.03
2020-06,2020-08,2,82065,0.938888,2368188835.0,10419031614.02
2020-06,2020-09,3,82065,0.938888,1548884263.37,11967915877.4
2020-06,2020-10,4,82065,0.938888,1191327697.16,13159243574.55
2020-06,2020-11,5,82065,0.938888,857706726.78,14016950301.33
2020-06,2020-12,6,82065,0.938888,633704136.9,14650654438.23
2020-06,2021-01,7,82065,0.938888,517512198.18,15168166636.41
2020-06,2021-02,8,82065,0.938888,375051108.88,15543217745.29
2020-06,2021-03,9,82065,0.938888,301067314.96,15844285060.25
2020-06,2021-04,10,82065,0.938888,230039186.05,16074324246.3
2020-06,2021-05,11,82065,0.938888,182749000.57,16257073246.87
2020-06,2021-06,12,82065,0.938888,160110660.93,16417183907.8
2020-06,2021-07,13,82065,0.938888,132641952.71,16549825860.5
2020-06,2021-08,14,82065,0.938888,111460499.3,16661286359.8
2020-06,2021-09,15,82065,0.938888,99416628.39,16760702988.2
2020-06,2021-10,16,82065,0.938888,89225045.4,16849928033.59
2020-06,2021-11,17,82065,0.938888,74787025.88,16924715059.48
2020-06,2021-12,18,82065,0.938888,61515687.56,16986230747.04
2020-06,2022-01,19,82065,0.938888,61264604.98,17047495352.02
2020-06,2022-02,20,82065,0.938888,48936850.04,17096432202.06
2020-06,2022-03,21,82065,0.938888,40561665.73,17136993867.79
2020-06,2022-04,22,82065,0.938888,41709666.17,17178703533.96
2020-06,2022-05,23,82065,0.938888,33955306.08,17212658840.04
2020-06,2022-06,24,82065,0.938888,29385760.13,17242044600.17
2020-06,2022-07,25,82065,0.938888,28791012.09,17270835612.26
2020-06,2022-08,26,82065,0.938888,27037492.57,17297873104.83
2020-06,2022-09,27,82065,0.938888,21189059.4,17319062164.24
2020-06,2022-10,28,82065,0.938888,19529383.26,17338591547.5
2020-06,2022-11,29,82065,0.938888,21514686.27,17360106233.78
2020-06,2022-12,30,82065,0.938888,16219478.74,17376325712.52
2020-06,2023-01,31,82065,0.938888,13230603.96,17389556316.48
2020-06,2023-02,32,82065,0.938888,16454383.91,17406010700.38
2020-06,2023-03,33,82065,0.938888,14056123.46,17420066823.85
2020-06,2023-04,34,82065,0.938888,13300405.54,17433367229.38
2020-06,2023-05,35,82065,0.938888,11181440.04,17444548669.42
2020-07,2020-07,0,82234,0.915,4586252857.75,4586252857.75
2020-07,2020-08,1,82234,0.915,3323964129.75,7910216987.5
2020-07,2020-09,2,82234,0.915,2214888272.25,10125105259.75
2020-07,2020-10,3,82234,0.915,1637608949.37,11762714209.12
2020-07,2020-11,4,82234,0.915,1168480663.22,12931194872.34
2020-07,2020-12,5,82234,0.915,822956689.78,13754151562.12
2020-07,2021-01,6,82234,0.915,654158262.45,14408309824.57
2020-07,2021-02,7,82234,0.915,453925869.97,14862235694.54
2020-07,2021-03,8,82234,0.915,333278713.73,15195514408.27
2020-07,2021-04,9,82234,0.915,298239445.2,15493753853.47
2020-07,2021-05,10,82234,0.915,205470579.6,15699224433.07
2020-07,2021-06,11,82234,0.915,175864312.18,15875088745.24
2020-07,2021-07,12,82234,0.915,158275679.0,16033364424.25
2020-07,2021-08,13,82234,0.915,117830053.06,16151194477.3
2020-07,2021-09,14,82234,0.915,100988372.74,16252182850.04
2020-07,2021-10,15,82234,0.915,97134313.82,16349317163.87
2020-07,2021-11,16,82234,0.915,83352569.96,16432669733.83
2020-07,2021-12,17,82234,0.915,72378011.36,16505047745.19
2020-07,2022-01,18,82234,0.915,62791104.41,16567838849.59
2020-07,2022-02,19,82234,0.915,54746234.18,16622585083.77
2020-07,2022-03,20,82234,0.915,49228188.58,16671813272.35
2020-07,2022-04,21,82234,0.915,45716712.58,16717529984.94
2020-07,2022-05,22,82234,0.915,38747865.38,16756277850.31
2020-07,2022-06,23,82234,0.915,35420782.9,16791698633.22
2020-07,2022-07,24,82234,0.915,31912841.97,16823611475.19
2020-07,2022-08,25,82234,0.915,25999255.78,16849610730.97
2020-07,2022-09,26,82234,0.915,23291571.44,16872902302.41
2020-07,2022-10,27,82234,0.915,21244280.26,16894146582.67
2020-07,2022-11,28,82234,0.915,24334852.49,16918481435.16
2020-07,2022-12,29,82234,0.915,21855016.44,16940336451.6
2020-07,2023-01,30,82234,0.915,16658799.43,16956995251.03
2020-07,2023-02,31,82234,0.915,15890470.24,16972885721.27
2020-07,2023-03,32,82234,0.915,12502987.77,16985388709.04
2020-07,2023-04,33,82234,0.915,12638984.13,16998027693.17
2020-07,2023-05,34,82234,0.915,13244619.24,17011272312.41
2020-07,2023-06,35,82234,0.915,11286329.22,17022558641.62
2020-08,2020-08,0,83284,0.913888,4643439158.03,4643439158.03
2020-08,2020-09,1,83284,0.913888,3004274302.7,7647713460.73
2020-08,2020-10,2,83284,0.913888,2377992253.5,10025705714.23
2020-08,2020-11,3,83284,0.913888,1558506174.68,11584211888.91
2020-08,2020-12,4,83284,0.913888,1165020995.79,12749232884.7
2020-08,2021-01,5,83284,0.913888,881261691.08,13630494575.78
2020-08,2021-02,6,83284,0.913888,630638823.15,14261133398.93
2020-08,2021-03,7,83284,0.913888,449477046.02,14710610444.95
2020-08,2021-04,8,83284,0.913888,367934868.9,15078545313.85
2020-08,2021-05,9,83284,0.913888,292956213.95,15371501527.8
2020-08,2021-06,10,83284,0.913888,221710231.29,15593211759.09
2020-08,2021-07,11,83284,0.913888,177286972.9,15770498731.98
2020-08,2021-08,12,83284,0.913888,154520821.49,15925019553.47
2020-08,2021-09,13,83284,0.913888,130563420.42,16055582973.89
2020-08,2021-10,14,83284,0.913888,110242819.48,16165825793.37
2020-08,2021-11,15,83284,0.913888,95637858.28,16261463651.65
2020-08,2021-12,16,83284,0.913888,74648661.24,16336112312.89
2020-08,2022-01,17,83284,0.913888,63736345.74,16399848658.62
2020-08,2022-02,18,83284,0.913888,57215679.12,16457064337.74
2020-08,2022-03,19,83284,0.913888,50596349.55,16507660687.29
2020-08,2022-04,20,83284,0.913888,52121572.88,16559782260.16
2020-08,2022-05,21,83284,0.913888,44095302.73,16603877562.89
2020-08,2022-06,22,83284,0.913888,43052579.43,16646930142.32
2020-08,2022-07,23,83284,0.913888,33607499.98,16680537642.3
2020-08,2022-08,24,83284,0.913888,37449221.12,16717986863.42
2020-08,2022-09,25,83284,0.913888,26139792.49,16744126655.91
2020-08,2022-10,26,83284,0.913888,24848440.8,16768975096.71
2020-08,2022-11,27,83284,0.913888,23597819.23,16792572915.94
2020-08,2022-12,28,83284,0.913888,22907705.82,16815480621.76
2020-08,2023-01,29,83284,0.913888,21484469.19,16836965090.95
2020-08,2023-02,30,83284,0.913888,16275771.63,16853240862.58
2020-08,2023-03,31,83284,0.913888,15661435.22,16868902297.79
2020-08,2023-04,32,83284,0.913888,15107278.14,16884009575.93
2020-08,2023-05,33,83284,0.913888,13490273.45,16897499849.39
2020-08,2023-06,34,83284,0.913888,12600832.67,16910100682.06
2020-08,2023-07,35,83284,0.913888,10922679.62,16921023361.68
2020-09,2020-09,0,82347,0.935849,4969963062.32,4969963062.32
2020-09,2020-10,1,82347,0.935849,3342376183.44,8312339245.76
2020-09,2020-11,2,82347,0.935849,2402384824.55,10714724070.31
2020-09,2020-12,3,82347,0.935849,1556400379.32,12271124449.63
2020-09,2021-01,4,82347,0.935849,1235406336.06,13506530785.69
2020-09,2021-02,5,82347,0.935849,848010796.74,14354541582.42
2020-09,2021-03,6,82347,0.935849,669815678.03,15024357260.45
2020-09,2021-04,7,82347,0.935849,497358285.43,15521715545.88
2020-09,2021-05,8,82347,0.935849,376462657.19,15898178203.07
2020-09,2021-06,9,82347,0.935849,304642621.51,16202820824.58
2020-09,2021-07,10,82347,0.935849,239774800.82,16442595625.4
2020-09,2021-08,11,82347,0.935849,179982612.98,16622578238.38
2020-09,2021-09,12,82347,0.935849,150670629.38,16773248867.76
2020-09,2021-10,13,82347,0.935849,136453080.42,16909701948.18
2020-09,2021-11,14,82347,0.935849,114744516.49,17024446464.67
2020-09,2021-12,15,82347,0.935849,107846172.44,17132292637.11
2020-09,2022-01,16,82347,0.935849,88882974.07,17221175611.18
2020-09,2022-02,17,82347,0.935849,77710072.29,17298885683.48
2020-09,2022-03,18,82347,0.935849,68099061.48,17366984744.96
2020-09,2022-04,19,82347,0.935849,62979044.64,17429963789.6
2020-09,2022-05,20,82347,0.935849,53508688.75,17483472478.35
2020-09,2022-06,21,82347,0.935849,44280809.58,17527753287.93
2020-09,2022-07,22,82347,0.935849,39962537.84,17567715825.77
2020-09,2022-08,23,82347,0.935849,34787144.47,17602502970.25
2020-09,2022-09,24,82347,0.935849,30242872.97,17632745843.22
2020-09,2022-10,25,82347,0.935849,30282481.73,17663028324.95
2020-09,2022-11,26,82347,0.935849,26380062.16,17689408387.11
2020-09,2022-12,27,82347,0.935849,24906751.25,17714315138.35
2020-09,2023-01,28,82347,0.935849,18630310.8,17732945449.15
2020-09,2023-02,29,82347,0.935849,19577798.88,17752523248.03
2020-09,2023-03,30,82347,0.935849,18462327.23,17770985575.26
2020-09,2023-04,31,82347,0.935849,18218307.3,17789203882.57
2020-09,2023-05,32,82347,0.935849,17162996.55,17806366879.11
2020-09,2023-06,33,82347,0.935849,11235141.83,17817602020.95
2020-09,2023-07,34,82347,0.935849,13031223.52,17830633244.47
2020-09,2023-08,35,82347,0.935849,11142671.77,17841775916.24
2020-10,2020-10,0,84449,0.975,5094846510.78,5094846510.78
2020-10,2020-11,1,84449,0.975,3508125994.71,8602972505.49
2020-10,2020-12,2,84449,0.975,2581708895.99,11184681401.49
2020-10,2021-01,3,84449,0.975,1759687209.64,12944368611.13
2020-10,2021-02,4,84449,0.975,1359573779.75,14303942390.88
2020-10,2021-03,5,84449,0.975,892540656.32,15196483047.2
2020-10,2021-04,6,84449,0.975,704556853.33,15901039900.53
2020-10,2021-05,7,84449,0.975,550639493.69,16451679394.22
2020-10,2021-06,8,84449,0.975,413664575.81,16865343970.03
2020-10,2021-07,9,84449,0.975,314891727.8,17180235697.83
2020-10,2021-08,10,84449,0.975,264578018.6,17444813716.43
2020-10,2021-09,11,84449,0.975,207855114.18,17652668830.61
2020-10,2021-10,12,84449,0.975,173769414.63,17826438245.24
2020-10,2021-11,13,84449,0.975,157782820.86,17984221066.1
2020-10,2021-12,14,84449,0.975,125077105.15,18109298171.25
2020-10,2022-01,15,84449,0.975,114863055.31,18224161226.56
2020-10,2022-02,16,84449,0.975,92477123.79,18316638350.35
2020-10,2022-03,17,84449,0.975,80528966.7,18397167317.05
2020-10,2022-04,18,84449,0.975,63838684.66,18461006001.71
2020-10,2022-05,19,84449,0.975,66610994.5,18527616996.21
2020-10,2022-06,20,84449,0.975,59724324.83,18587341321.04
2020-10,2022-07,21,84449,0.975,41482298.11,18628823619.15
2020-10,2022-08,22,84449,0.975,46404545.54,18675228164.69
2020-10,2022-09,23,84449,0.975,37256454.52,18712484619.21
2020-10,2022-10,24,84449,0.975,36584396.52,18749069015.73
2020-10,2022-11,25,84449,0.975,30450689.07,18779519704.8
2020-10,2022-12,26,84449,0.975,27444423.6,18806964128.4
2020-10,2023-01,27,84449,0.975,25719676.69,18832683805.09
2020-10,2023-02,28,84449,0.975,22640002.11,18855323807.21
2020-10,2023-03,29,84449,0.975,20610889.23,18875934696.43
2020-10,2023-04,30,84449,0.975,21695505.57,18897630202.01
2020-10,2023-05,31,84449,0.975,18035488.55,18915665690.55
2020-10,2023-06,32,84449,0.975,14378995.78,18930044686.34
2020-10,2023-07,33,84449,0.975,17097182.45,18947141868.78
2020-10,2023-08,34,84449,0.975,14105215.0,18961247083.79
2020-10,2023-09,35,84449,0.975,11492571.45,18972739655.24
2020-11,2020-11,0,83410,1.020849,5080795442.08,5080795442.08
2020-11,2020-12,1,83410,1.020849,3671227137.09,8752022579.18
2020-11,2021-01,2,83410,1.020849,2613749560.63,11365772139.81
2020-11,2021-02,3,83410,1.020849,1724052308.33,13089824448.14
2020-11,2021-03,4,83410,1.020849,1182549073.17,14272373521.31
2020-11,2021-04,5,83410,1.020849,992931862.08,15265305383.39
2020-11,2021-05,6,83410,1.020849,651555561.81,15916860945.2
2020-11,2021-06,7,83410,1.020849,567162948.55,16484023893.75
2020-11,2021-07,8,83410,1.020849,430526817.77,16914550711.51
2020-11,2021-08,9,83410,1.020849,330370920.82,17244921632.33
2020-11,2021-09,10,83410,1.020849,257967152.9,17502888785.22
2020-11,2021-10,11,83410,1.020849,204500682.1,17707389467.32
2020-11,2021-11,12,83410,1.020849,165213621.59,17872603088.91
2020-11,2021-12,13,83410,1.020849,133929848.55,18006532937.46
2020-11,2022-01,14,83410,1.020849,121773027.68,18128305965.14
2020-11,2022-02,15,83410,1.020849,107421221.3,18235727186.44
2020-11,2022-03,16,83410,1.020849,86863774.35,18322590960.8
2020-11,2022-04,17,83410,1.020849,77588797.14,18400179757.94
2020-11,2022-05,18,83410,1.020849,69527439.57,18469707197.51
2020-11,2022-06,19,83410,1.020849,59900172.43,18529607369.94
2020-11,2022-07,20,83410,1.020849,57694084.38,18587301454.32
2020-11,2022-08,21,83410,1.020849,48392695.6,18635694149.92
2020-11,2022-09,22,83410,1.020849,45349759.02,18681043908.94
2020-11,2022-10,23,83410,1.020849,36172011.79,18717215920.73
2020-11,2022-11,24,83410,1.020849,35765073.44,18752980994.16
2020-11,2022-12,25,83410,1.020849,32556230.47,18785537224.63
2020-11,2023-01,26,83410,1.020849,27290292.13,18812827516.76
2020-11,2023-02,27,83410,1.020849,24533115.14,18837360631.91
2020-11,2023-03,28,83410,1.020849,23863492.74,18861224124.64
2020-11,2023-04,29,83410,1.020849,17534619.32,18878758743.96
2020-11,2023-05,30,83410,1.020849,19200788.86,18897959532.82
2020-11,2023-06,31,83410,1.020849,17402854.13,18915362386.95
2020-11,2023-07,32,83410,1.020849,13990228.47,18929352615.42
2020-11,2023-08,33,83410,1.020849,14422764.67,18943775380.09
2020-11,2023-09,34,83410,1.020849,11444619.72,18955219999.81
2020-11,2023-10,35,83410,1.020849,11463778.33,18966683778.14
2020-12,2020-12,0,82999,1.061112,5559045974.43,5559045974.43
2020-12,2021-01,1,82999,1.061112,4145514961.41,9704560935.84
2020-12,2021-02,2,82999,1.061112,2697991381.47,12402552317.31
2020-12,2021-03,3,82999,1.061112,1992082255.61,14394634572.92
2020-12,2021-04,4,82999,1.061112,1290266117.42,15684900690.35
2020-12,2021-05,5,82999,1.061112,1057428898.98,16742329589.33
2020-12,2021-06,6,82999,1.061112,686663032.36,17428992621.69
2020-12,2021-07,7,82999,1.061112,558305577.22,17987298198.91
2020-12,2021-08,8,82999,1.061112,454737143.29,18442035342.2
2020-12,2021-09,9,82999,1.061112,332590869.19,18774626211.39
2020-12,2021-10,10,82999,1.061112,254214409.09,19028840620.47
2020-12,2021-11,11,82999,1.061112,219384695.7,19248225316.18
2020-12,2021-12,12,82999,1.061112,178372045.02,19426597361.2
2020-12,2022-01,13,82999,1.061112,158709752.6,19585307113.8
2020-12,2022-02,14,82999,1.061112,120009849.3,19705316963.1
2020-12,2022-03,15,82999,1.061112,108026489.13,19813343452.23
2020-12,2022-04,16,82999,1.061112,92960890.36,19906304342.59
2020-12,2022-05,17,82999,1.061112,81141962.65,19987446305.25
2020-12,2022-06,18,82999,1.061112,81163807.68,20068610112.93
2020-12,2022-07,19,82999,1.061112,61568382.64,20130178495.56
2020-12,2022-08,20,82999,1.061112,59529171.73,20189707667.29
2020-12,2022-09,21,82999,1.061112,49995317.81,20239702985.1
2020-12,2022-10,22,82999,1.061112,44526718.71,20284229703.81
2020-12,2022-11,23,82999,1.061112,35028081.37,20319257785.18
2020-12,2022-12,24,82999,1.061112,36605434.14,20355863219.31
2020-12,2023-01,25,82999,1.061112,32389438.98,20388252658.3
2020-12,2023-02,26,82999,1.061112,30727703.88,20418980362.18
2020-12,2023-03,27,82999,1.061112,32352459.01,20451332821.19
